"ref","N_Predictor","N_Response","methods","variable","variable_cat","error_distribution","data_available","species","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","sd","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","per_chick","notes"
223,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Mississippi Kite Ictinia mississippiensis","direct","2",2,TRUE,2.08,NA,FALSE,NA,"visits/hour",1,NA,FALSE,"2010"
223,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Mississippi Kite Ictinia mississippiensis","direct","2",2,TRUE,0.81,NA,FALSE,NA,"visits/hour",1,NA,FALSE,"2011"
227,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","carrion crow (Corvus corone)","video","4-8",6,FALSE,2.97359,NA,FALSE,NA,"visits/hour",1,NA,FALSE,"Sample sizes not clear, so SD no used - cuckoo vs. crow"
227,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","carrion crow (Corvus corone)","video","4-8",6,FALSE,3.490753,1.02434,FALSE,NA,"visits/hour",1,NA,FALSE,"Sample sizes not clear - parasitised vs unparasitised"
245,1,"1","LMM","visits/hour","rate","Gaussian","FALSE","Horned Lark (Eremophila alpestris)","video","4",4,TRUE,3.48,2.01,FALSE,NA,"visits/hour",1,NA,FALSE,"males"
245,1,"1","LMM","visits/hour","rate","Gaussian","FALSE","Horned Lark (Eremophila alpestris)","video","4",4,TRUE,4.99,3.93,FALSE,NA,"visits/hour",1,NA,FALSE,"females"
262,NA,"1","GLMM","visits/day","rate","Poisson","FALSE","Shoebills (Balaeniceps rex)","video","24",24,TRUE,1.12,1.08,FALSE,NA,"visits/day",24,NA,FALSE,NA
262,NA,"1","GLMM","visits/hour","rate","Poisson","FALSE","Shoebills (Balaeniceps rex)","video","1",1,TRUE,0.11,0.35,FALSE,NA,"visits/hour",1,NA,FALSE,NA
274,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","Ochre-collared Piculet (Picumnus temminckii)","direct","2.5",2.5,FALSE,2.037002,1.522504,FALSE,NA,"visits/hour",1,NA,FALSE,"female; extracted from fig 2"
274,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","Ochre-collared Piculet (Picumnus temminckii)","direct","2.5",2.5,FALSE,1.374663,0.6858968,FALSE,NA,"visits/hour",1,NA,FALSE,"male; extracted from fig 2"
10,NA,"1","LM","visits/day","rate","Gaussian","FALSE","thick-billed murre Uria lomvia","automated","73.1 ± 3.7 h mean±SE N=101",73.1,FALSE,1.552475,1.002357,TRUE,3,"visits/day",24,NA,FALSE,NA
11,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","thick-billed murre Uria lomvia / common guillemot Uria aalge","automated","18",18,TRUE,0.2100435,0.1009065,TRUE,2,"visits/hour",1,NA,FALSE,NA
27,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Nuthatch, Sitta europaea","video","92.06 ± SD 12.01 min, N = 30 and 95.05 ± SD 12.01 min (N=26).",1.5,FALSE,0.4295292,0.7488425,TRUE,2,"visits/hour",1,NA,FALSE,"incubation feeding extracted from fig 1, no chick feeding data presented"
35,NA,"1","non-parametric","visits/day","rate","non-parametric","FALSE","Magellanic Penguins (Spheniscus magellanicus)","automated","30 days",720,TRUE,0.64,0.318509,TRUE,3,"visits/day",24,NA,FALSE,"males, early chick"
35,NA,"1","non-parametric","visits/day","rate","non-parametric","FALSE","Magellanic Penguins (Spheniscus magellanicus)","automated","30 days",720,TRUE,0.6709677,0.339798,TRUE,3,"visits/day",24,NA,FALSE,"females, early chick"
35,NA,"1","non-parametric","visits/day","rate","non-parametric","FALSE","Magellanic Penguins (Spheniscus magellanicus)","automated","30 days",720,TRUE,0.7285714,0.180673,TRUE,2,"visits/day",24,NA,FALSE,"Total time assumed; males, late chick"
35,NA,"1","non-parametric","visits/day","rate","non-parametric","FALSE","Magellanic Penguins (Spheniscus magellanicus)","automated","30 days",720,TRUE,0.7272727,0.181742,TRUE,2,"visits/day",24,NA,FALSE,"Total time assumed; females, late chick"
38,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","chestnut-crowned babbler (Pomatostomus ruficeps)","automated","15 h (±5 h SD, range = 6–28 h) during control days and 8 h (±4 h SD, range = 2–14 h) during experimental days;",11.5,FALSE,11.1,6.418454,TRUE,2,"visits/hour",1,NA,FALSE,"carer removal"
38,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","chestnut-crowned babbler (Pomatostomus ruficeps)","automated","15 h (±5 h SD, range = 6–28 h) during control days and 8 h (±4 h SD, range = 2–14 h) during experimental days;",11.5,FALSE,14.8,8.581575,TRUE,2,"visits/hour",1,NA,FALSE,"brood size manipulation"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,2.848956,2.14602,TRUE,2,"visits/hour",1,NA,FALSE,"sexes, age1; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,5.254514,3.78144,TRUE,2,"visits/hour",1,NA,FALSE,"sexes, age2; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,6.418853,5.58763,TRUE,2,"visits/hour",1,NA,FALSE,"sexes, age3; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,5.908713,3.84237,TRUE,2,"visits/hour",1,NA,FALSE,"females, age 1 vs. 2; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,5.341252,4.36377,TRUE,2,"visits/hour",1,NA,FALSE,"females, age 1 vs. 3; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,6.973978,4.8685,TRUE,2,"visits/hour",1,NA,FALSE,"females, age 2 vs. 3; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,2.595684,1.72776,TRUE,2,"visits/hour",1,NA,FALSE,"males, age 1 vs. 2; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,3.529901,4.32343,TRUE,2,"visits/hour",1,NA,FALSE,"males, age 1 vs. 3; extracted from figure 3c"
43,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Tropeiro seedeater Sporophila beltoni","mixed direct + video","at least 1.5 - 60/16",3.75,FALSE,4.381843,3.70628,TRUE,2,"visits/hour",1,NA,FALSE,"males, age 2 vs. 3; extracted from figure 3c"
54,NA,"1","LM","visits/30min/chick","rate","Gaussian","FALSE","red-winged blackbird Agelaius phoeniceus","direct","0.5",0.5,TRUE,1.517222,0.399584,TRUE,6,"visits/30mins/chick",0.5,3,TRUE,NA
67,NA,"1","LMM","visits/min","rate","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","1 or 2",1.5,FALSE,0.58,0.244971,TRUE,2,"visits/min",0.01666667,NA,FALSE,NA
70,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","control - 17, exp - 6",10,FALSE,9.915254,4.68268,TRUE,2,"visits/hour",1,NA,FALSE,"exp vs. control; brood"
70,NA,"1","LMM","visits/hour/chick","rate","Gaussian","FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","control - 17, exp - 6",10,FALSE,3.306311,1.53848,TRUE,2,"visits/hour/chick",1,NA,TRUE,"exp vs. control; per chick"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,0.911627,0.599711,TRUE,2,"visits/30mins/chick",0.5,5.3,TRUE,"Female; single vs. double brooders"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,0.9455307,0.615795,TRUE,2,"visits/30mins/chick",0.5,5.3,TRUE,"Female; successful single vs. double brooders"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,1.06092,0.650882,TRUE,2,"visits/30mins/chick",0.5,5.3,TRUE,"Female; successful vs. failed double brooders"
85,NA,"1","non-parametric","visits/hour/chick","rate","non-parametric","FALSE","spectacled tyrant Hymenops perspicillatus","video","4",4,TRUE,6.283427,3.66674,TRUE,4,"visits/hour/chick",1,NA,TRUE,"extracted from fig 3"
86,1,"6","LM","visits/day","rate","Gaussian","FALSE","rockhopper penguin Eudyptes chrysocome","automated","332.18571 ±  57.24212 SD",332.18571,FALSE,0.7039286,0.2361254,TRUE,2,"visits/day",24,NA,FALSE,"Female Creche PR"
86,NA,"1","non-parametric","visits/day","rate","non-parametric","FALSE","rockhopper penguin Eudyptes chrysocome","automated","550.48421 ± 61.16239 SD",550.48421,FALSE,0.8489474,0.1492084,TRUE,2,"visits/day",24,NA,FALSE,"Female Guard PR"
86,1,"2","non-parametric","visits/day","rate","non-parametric","FALSE","rockhopper penguin Eudyptes chrysocome","automated","332.18571 ±  57.24212 SD",332.18571,FALSE,0.3532143,0.2796628,TRUE,2,"visits/day",24,NA,FALSE,"Male Creche PR"
86,1,"1","non-parametric","visits/day","rate","non-parametric","FALSE","rockhopper penguin Eudyptes chrysocome","automated","332.18571 ±  57.24212 SD",332.18571,FALSE,1.0571429,0.4304281,TRUE,2,"visits/day",24,NA,FALSE,"Total Creche PR"
92,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","Arabian babbler Turdoides squamiceps","direct","2",2,TRUE,12.28815,4.56202,TRUE,2,"visits/hour",1,NA,FALSE,"delta1,2; extracted from fig1"
92,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","Arabian babbler Turdoides squamiceps","direct","2",2,TRUE,13.37163,3.53854,TRUE,2,"visits/hour",1,NA,FALSE,"delta2,3; extracted from fig1"
124,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","eastern kingbird Tyrannus tyrannus","video","1-4 (mainly 2-4)",3,FALSE,5.145,2.5859,TRUE,2,"visits/hour",1,NA,FALSE,"pooled"
139,NA,"3","non-parametric","visits/hour","rate","non-parametric","FALSE","European roller Coracias garrulus","video","94.69±8.07932  SD",1.5,FALSE,1.222949,1.4433,TRUE,4,"visits/hour",1,NA,FALSE,"extracted from fig 1"
148,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","ground tit Pseudopodoces humilis","direct","6.5 ± 0.5 in total for nest, but measured every 2 days? 2 hours?",2,FALSE,10.727288,2.926116,TRUE,2,"visits/hour",1,NA,FALSE,"Total PR"
148,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","ground tit Pseudopodoces humilis","direct","6.5 ± 0.5 in total for nest, but measured every 2 days? 2 hours?",2,FALSE,6.586441,5.774948,TRUE,2,"visits/hour",1,NA,FALSE,"females"
148,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","ground tit Pseudopodoces humilis","direct","6.5 ± 0.5 in total for nest, but measured every 2 days? 2 hours?",2,FALSE,4.140847,2.781167,TRUE,2,"visits/hour",1,NA,FALSE,"males"
160,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","tree swallow Tachycineta bicolor","video","2",2,TRUE,15.188,6.607738,TRUE,2,"visits/hour",1,NA,FALSE,"pre experiment"
172,NA,"1","LM","visits/min","rate","Gaussian","FALSE","great tit Parus major / blue tit Cyanistes caeruleus","video","1.5",1.5,TRUE,18.17634,10.5208,TRUE,2,"visits/hour",1,NA,FALSE,"control great vs blue tits"
172,4,"1","LM","visits/min","rate","Gaussian","FALSE","great tit Parus major","video","1.5",1.5,TRUE,15.544878,8.128269,TRUE,2,"visits/hour",1,NA,FALSE,"control versus cross foster great tits"
172,4,"1","LM","visits/min","rate","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","1.5",1.5,TRUE,20.06279,11.66689,TRUE,2,"visits/hour",1,NA,FALSE,"control versus cross foster blue tits"
174,NA,"1","GLMM","visits/hour","rate","Gamma","FALSE","house wren Troglodytes aedon","video","4",4,TRUE,18.68028,3.86763,TRUE,2,"visits/hour",1,NA,FALSE,"age1"
174,NA,"1","GLMM","visits/hour","rate","Gamma","FALSE","house wren Troglodytes aedon","video","4",4,TRUE,27.08324,7.26442,TRUE,2,"visits/hour",1,NA,FALSE,"age2"
174,NA,"1","GLMM","visits/hour","rate","Gamma","FALSE","house wren Troglodytes aedon","video","4",4,TRUE,34.31875,10.8407,TRUE,2,"visits/hour",1,NA,FALSE,"age3"
174,NA,"1","GLMM","visits/hour/chick","rate","Gamma","FALSE","house wren Troglodytes aedon","video","4",4,TRUE,4.040833,0.812285,TRUE,2,"visits/hour/chick",1,NA,TRUE,"age1"
174,NA,"1","GLMM","visits/hour/chick","rate","Gamma","FALSE","house wren Troglodytes aedon","video","4",4,TRUE,5.830588,1.38593,TRUE,2,"visits/hour/chick",1,NA,TRUE,"age2"
174,NA,"1","GLMM","visits/hour/chick","rate","Gamma","FALSE","house wren Troglodytes aedon","video","4",4,TRUE,7.28,2.12618,TRUE,2,"visits/hour/chick",1,NA,TRUE,"age3"
181,NA,"2","non-parametric","visits/hour","rate","non-parametric","FALSE","lesser grass-finch Emberizoides ypiranganus","direct","not specified",NA,NA,2.833333,NA,TRUE,3,"visits/hour",1,NA,FALSE,"combined means, not sure of sample sizes per age, assumed equal, not Sd presented - obseravtion tme not clear"
190,NA,"5","LMM","visits/hour","rate","Gaussian","FALSE","oriental stork Ciconia boyciana","video","6",6,TRUE,0.3602807,0.160677,TRUE,2,"visits/hour",1,NA,FALSE,"extracted from fig 4d; n seems small"
191,NA,"1/1","LM/GLM","visits/hour/adult","rate","Gaussian/Poisson","FALSE","greater ani Crotophaga major","video","mean 14.5 (sd 3, range 12-21)",14.5,FALSE,1.37,0.3109126,TRUE,2,"visits/hour/adult",1,5,TRUE,"hours of recording not continuous, but aggregated; adults not seperated, but 'visits per adult' was calculated (same issue as visits/chick)"
195,1,"1","LMM","visits/hour","rate","Gaussian","FALSE","black-legged kittiwake Rissa tridactyla","direct","3",3,TRUE,0.8,0.388713,TRUE,2,"visits/hour",1,NA,FALSE,"chick visit rate"
195,1,"1","LMM","visits/hour","rate","Gaussian","FALSE","black-legged kittiwake Rissa tridactyla","direct","3",3,TRUE,1.691561,NA,TRUE,8,"visits/hour",1,NA,FALSE,"brood visits rate; se on log scale presented, so not used"
201,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","Yellow Warbler Setophaga petechia","video","1",1,TRUE,8.892109,4.79942,TRUE,2,"visits/hour",1,NA,FALSE,"extracted from fig 3"
215,1,"3","LM","visits/hour","rate","Gaussian","FALSE","Great Blue Heron Ardea herodias","direct","6-9 hours",7.5,FALSE,0.4023879,0.458509,TRUE,8,"visits/hour",1,NA,FALSE,"pooled; extracted from fig 3; probably the averages of many averages presented"
215,NA,"2","LM","visits/hour","rate","Gaussian","FALSE","Great Blue Heron Ardea herodias","direct","6-9 hours",7.5,FALSE,0.33825,0.431052,TRUE,4,"visits/hour",1,NA,FALSE,"IN"
215,NA,"2","LM","visits/hour","rate","Gaussian","FALSE","Great Blue Heron Ardea herodias","direct","6-9 hours",7.5,FALSE,0.4711071,0.480582,TRUE,4,"visits/hour",1,NA,FALSE,"CO"
245,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","Horned Lark (Eremophila alpestris)","video","4",4,TRUE,4.235,3.205177,TRUE,2,"visits/hour",1,NA,FALSE,"pooled sexes; assume that SD is pesented and not SE, as an SD of 33 with mean of 4 would be impossible!!"
279,NA,"4","LM","visits/hour/chick","rate","Gaussian","FALSE","Common terns (Sterna hirundo) / Roseate terns (Sterna dougallii)","direct","1",1,TRUE,0.5476375,0.380685,TRUE,2,"visits/hour/chick",1,2.592105,TRUE,"extract from fig A4"
282,NA,"2","LMM","visits/hour","rate","Gaussian","FALSE","yellow warbler Setophaga petechia","video","~1.5",1.5,FALSE,4.731161,NA,TRUE,3,"visits/hour",1,NA,FALSE,"femalePR; extracted from fig 1; not sure how errors calculated so not used"
282,NA,"2","LMM","visits/hour","rate","Gaussian","FALSE","yellow warbler Setophaga petechia","video","~1.5",1.5,FALSE,5.429291,NA,TRUE,3,"visits/hour",1,NA,FALSE,"male PR; extracted from fig 1; not sure how errors calculated so not used"
282,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","yellow warbler Setophaga petechia","video","~1.5",1.5,FALSE,5.080226,NA,TRUE,6,"visits/hour",1,NA,FALSE,"both sexes PR; extracted from fig 1; not sure how errors calculated so not used"
288,NA,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","Rock sparrow, Petronia petronia","mixed direct + video","3.17 ± 0.99",3.17,FALSE,1.553333,0.529629,TRUE,2,"visits/hour/chick",1,5.025,TRUE,"biparental total PR"
288,2,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","Rock sparrow, Petronia petronia","mixed direct + video","3.17 ± 0.99",3.17,FALSE,1.035641,0.480558,TRUE,2,"visits/hour/chick",1,5.025,TRUE,"biparental female PR"
288,2,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","Rock sparrow, Petronia petronia","mixed direct + video","3.17 ± 0.99",3.17,FALSE,0.5407692,0.399044,TRUE,2,"visits/hour/chick",1,5.025,TRUE,"biparental male PR"
288,NA,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","Rock sparrow, Petronia petronia","mixed direct + video","3.17 ± 0.100",3.17,FALSE,1.013529,0.497686,TRUE,2,"visits/hour/chick",1,4.29,TRUE,"all females PR"
288,NA,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","Rock sparrow, Petronia petronia","mixed direct + video","3.17 ± 0.101",3.17,FALSE,0.785,0.503261,TRUE,2,"visits/hour/chick",1,5.025,TRUE,"both sex biparental PR"
