"Ref","Scientific_Name","Common_Name","N_Predictor","N_Response","N_Analysis","Variable","Variable_Category","Error_Distribution","Data_Available","Observation_Method","Mean_Observation_Period_hours","Single_Observation_Period?","Pooled_Estimates?","N_Pooled_Groups","Estimate_Units","Estimate_Units_hours","Per_Chick","Mean_N_Chicks","Mean_Rate","SD_Rate","Adjusted_Mean_Rate","Adjusted_SD_Rate","Expexted_CV","Proportion_Expected_V","Notes"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,3.909091,0.8312094,7.818182,1.6624188,0,0,"females; extracted from fig2"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,4.272727,1.793929,8.545454,3.587858,0.243428771746079,0.336158118711962,"males; extracted from fig2"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"7",7,"visits/time/chick","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"total per chick; data not extracted"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"2",2,"visits/time/chick","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"female per chick; data not extracted"
100,"Dendrocopos syriacus","Syrian Woodpecker",NA,"2",2,"visits/time/chick","rate","non-parametric","FALSE","mixed direct + video",2,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"male per chick; data not extracted"
101,"Sturnus vulgaris","European Starling",NA,"2",2,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,2.807083,1.262125,2.807083,1.262125,0,0,"table3; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"2",2,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,2.437391,1.786564,2.437391,1.786564,0.356353781845912,0.236361095178891,"table4; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,3.438125,1.417832,3.438125,1.417832,0,0,"table5; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,1.827813,1.27047,1.827813,1.27047,0,0,"table5; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,5.95875,2.499887,5.95875,2.499887,0.0904807424306333,0.0465138067961449,"table5; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,2.317619,1.837908,2.317619,1.837908,0.444293171166576,0.313888803913992,"table6; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,1.535476,1.835235,1.535476,1.835235,0.881641798267222,0.544110419453777,"table6; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,5.92619,3.01942,5.92619,3.01942,0.301417109334511,0.349977310115832,"table6; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,2.1925,1.733561,2.1925,1.733561,0.411182424431586,0.270439443597493,"table6; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,1.458125,1.122819,1.458125,1.122819,0,0,"table6; extracted from SM; analysed as per chick,"
101,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","TRUE","direct",0.5,TRUE,FALSE,NA,"visits/30mins",0.5,FALSE,NA,4.84375,2.59306,4.84375,2.59306,0.283088011709481,0.279628391283231,"table6; extracted from SM; analysed as per chick,"
102,"Frederickena unduliger","Undulated Antshrike",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",12,TRUE,FALSE,2,"visits/hour",1,FALSE,NA,1.9,0.5,22.8,6,0.15935001863671,0.366666666666667,"from degrees of freedom, guess that they calcaulte one rate per day per sex; days are 12 hours long, 13 days"
105,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits","number","Gaussian","FALSE","video",1,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,22.89,11.3486,22.89,11.3486,0.449576568096014,0.82226980599496,"females"
105,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits","number","Gaussian","FALSE","video",1,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,27.725,11.6557,27.725,11.6557,0.375061282612014,0.795922637329918,"males"
105,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits","number","Gaussian","FALSE","video",1,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,50.61,17.8666,50.61,17.8666,0.323832944541693,0.841455015315866,"total"
114,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits/time","rate","Gaussian","TRUE","video",2,TRUE,FALSE,NA,"visits/min",0.01666666667,FALSE,NA,0.4004673,0.2018617,48.0560759903888,24.2234039951553,0.48298331203857,0.91810112031465,"data from SM"
120,"Sterna paradisaea / Sterna hirundo","Arctic Tern / Common Tern",2,"1",3,"visits/time/chick","rate","Gaussian","FALSE","direct",3,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,3.16,0.8336666,9.48,2.5009998,0,0,"data presented not per chick, but analysed per chick"
124,"Tyrannus tyrannus","Eastern Kingbird",NA,"2",2,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,4.94,2.968,14.82,8.904,0.54175264862679,0.813070475609254,"males"
124,"Tyrannus tyrannus","Eastern Kingbird",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,5.35,2.149,16.05,6.447,0.314711500240851,0.61384674826121,"females"
124,"Tyrannus tyrannus","Eastern Kingbird",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,5.145,2.5859,15.435,7.7577,0.433386010082889,0.743527578601354,"pooled"
126,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits","number","Gaussian","FALSE","video",1,TRUE,TRUE,6,"visits/hour",1,FALSE,NA,26.04328,NA,26.04328,NA,NA,NA,"means taken from table S2"
126,"Parus major","Great Tit",NA,"1",1,"visits","number","Gaussian","FALSE","video",1,TRUE,TRUE,6,"visits/hour",1,FALSE,NA,15.1459,NA,15.1459,NA,NA,NA,"means taken from table S2"
131,"Uria aalge","Common Guillemot",NA,"1",1,"visits","number","Gaussian","FALSE","direct",20,FALSE,FALSE,NA,"visits/day",20,FALSE,NA,4.36,1.645357,4.36,1.645357,0,0,"not stated whether SD or SE assume SE"
136,"Manorina melanophrys","Bell Miner",NA,"1",1,"visits/time","rate","Gaussian","FALSE","mixed direct + video",NA,NA,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"rates and observation periods not presented"
137,"Tachycineta bicolor","Tree Swallow",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.919355,3.127343,5.919355,3.127343,0.331948699958641,0.394765948790774,"pooled sexes; extracted from fig 2"
137,"Tachycineta bicolor","Tree Swallow",1,"2",3,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.516129,3.031732,5.516129,3.031732,0.347544328737706,0.399859689681968,"females; extracted from fig 2"
137,"Tachycineta bicolor","Tree Swallow",1,"2",3,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,6.322581,3.218562,6.322581,3.218562,0.317768850500852,0.389661672942045,"males; extracted from fig 2"
137,"Tachycineta bicolor","Tree Swallow",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,6.941176,3.283948,6.941176,3.283948,0.282429436555208,0.356363724237594,"subset; extracted from fig 3c"
139,"Coracias garrulus","European Roller",NA,"3",3,"visits/time","rate","non-parametric","FALSE","video",1.5,FALSE,TRUE,4,"visits/hour",1,FALSE,NA,1.222949,1.4433,1.8344235,2.16495,0.920703283484468,0.608615282216463,"extracted from fig 1"
148,"Pseudopodoces humilis","Ground Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,5.75,5.388877,11.5,10.777754,0.889595312868087,0.900998606638611,"polyandrous females"
148,"Pseudopodoces humilis","Ground Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,7.16,6.034401,14.32,12.068802,0.800292679658958,0.901686152320202,"monogamous females"
148,"Pseudopodoces humilis","Ground Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,5.09,2.44949,10.18,4.89898,0.365179443714354,0.575833422415384,"cuckolded males"
148,"Pseudopodoces humilis","Ground Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,3.49,2.839718,6.98,5.679436,0.720275583538964,0.783606105698816,"noncuckolded males"
148,"Pseudopodoces humilis","Ground Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,10.727288,2.926116,21.454576,5.852232,0.166718568776698,0.373563770241024,"Total PR"
148,"Pseudopodoces humilis","Ground Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,6.586441,5.774948,13.172882,11.549896,0.832377999878205,0.901252830875501,"females"
148,"Pseudopodoces humilis","Ground Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,4.140847,2.781167,8.281694,5.562334,0.574765004776593,0.732326699976967,"males"
150,"Passer domesticus","House Sparrow",2,NA,2,"NA",NA,NA,"FALSE","mixed direct + video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"father"
150,"Passer domesticus","House Sparrow",2,NA,2,"NA",NA,NA,"FALSE","mixed direct + video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"mother"
150,"Passer domesticus","House Sparrow",3,NA,3,"NA",NA,NA,"FALSE","mixed direct + video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"mid-parent"
150,"Passer domesticus","House Sparrow",NA,"3",3,"visits/time","rate","Gaussian","FALSE","mixed direct + video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"daughter"
150,"Passer domesticus","House Sparrow",NA,"3",3,"visits/time","rate","Gaussian","FALSE","mixed direct + video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"son"
150,"Passer domesticus","House Sparrow",NA,"1",1,"visits/time","rate","Gaussian","FALSE","mixed direct + video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"mid-offspring"
150,"Passer domesticus","House Sparrow",1,"1",2,"visits/time","rate","Gaussian","FALSE","mixed direct + video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"pedigree dataset; data not reported"
150,"Passer domesticus","House Sparrow",1,"1",2,"visits/time","rate","Gaussian","FALSE","mixed direct + video",1.5,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,11.4,8.827231,17.1,13.2408465,0.735587942304006,0.902464074630053,"whole dataset"
150,"Passer domesticus","House Sparrow",1,"1",2,"visits/time","rate","Gaussian","FALSE","mixed direct + video",1.5,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,10.8,8.827231,16.2,13.2408465,0.778659151890642,0.907597544386366,"heterozygocisty dataset"
151,"Plocepasser mahali","White-browed Sparrow-weaver",3,NA,3,"NA",NA,NA,"TRUE","video",3.1,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,2.438679,2.148434,7.5599049,6.6601454,0.802404956581748,0.829568874783238,"OS analysis; data from SM"
151,"Plocepasser mahali","White-browed Sparrow-weaver",1,NA,1,"NA",NA,NA,"TRUE","video",3.1,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,3.4627,3.809474,10.73437,11.8093694,1.05695862241579,0.92302970598997,"BM analysis; data from SM"
153,"Tachycineta bicolor","Tree Swallow",NA,"1",1,"visits","number","Gaussian","TRUE; but not direct obs","mixed direct + RFID",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,8.564726,4.068299,8.564726,4.068299,0.329959147253706,0.482526939058433,"females; extracted from fig 1; summary stats for data that came from direct observation (considered more accurate)"
153,"Tachycineta bicolor","Tree Swallow",NA,"1",1,"visits","number","Gaussian","TRUE; but not direct obs","mixed direct + RFID",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.938642,4.108431,5.938642,4.108431,0.556971144426431,0.648168151232981,"males; extracted from fig 1"
160,"Tachycineta bicolor","Tree Swallow",NA,"1",1,"visits","number","Gaussian","FALSE","video",1,TRUE,TRUE,6,"visits/hour",1,FALSE,NA,11.549306,4.745108,11.549306,4.745108,0.286736489131346,0.487063404324824,"playback experiment; extracted from fig 3"
160,"Tachycineta bicolor","Tree Swallow",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",2,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,15.188,6.607738,30.376,13.215476,0.395422752642047,0.826073818012538,"pre experiment"
163,"Tachycineta bicolor","Tree Swallow",2,NA,2,"NA",NA,NA,"FALSE","direct",1,TRUE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"rates not reported"
164,"Emberiza citrinella","Yellowhammer",2,"1",3,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,6.58,4.15,6.58,4.15,0.495787914230962,0.617941646102482,"extracted form fig 1"
166,"Zonotrichia leucophrys","White-crowned Sparrow",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,4.9,3.3,14.7,9.9,0.620913685916874,0.850015304560759,"pooled sexes"
166,"Zonotrichia leucophrys","White-crowned Sparrow",NA,"20",20,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,4.1,2.5,12.3,7.5,0.538982082730641,0.781333333333333,"males"
166,"Zonotrichia leucophrys","White-crowned Sparrow",NA,"20",20,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,5.7,3.8,17.1,11.4,0.621260744197396,0.868421052631579,"females"
172,"Parus major","Great Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",1.5,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,15.9,8.1,23.85,12.15,0.46646997838462,0.838439262307575,"control great tits"
172,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",1.5,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,20.3,12,30.45,18,0.562669980554388,0.906018518518519,"control blue tits"
172,"Parus major / Cyanistes caeruleus","Great Tit / Blue Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",1.5,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,18.17634,10.5208,27.26451,15.7812,0.546217008322672,0.890524320547328,"control great vs blue tits"
172,"Parus major","Great Tit",4,"1",5,"visits/time","rate","Gaussian","FALSE","video",1.5,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,15.544878,8.128269,23.317317,12.1924035,0.480133202520514,0.8431444379984,"control versus cross foster great tits"
172,"Cyanistes caeruleus","Blue Tit",4,"1",5,"visits/time","rate","Gaussian","FALSE","video",1.5,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,20.06279,11.66689,30.094185,17.500335,0.552209316374126,0.901737035573177,"control versus cross foster blue tits"
174,"Troglodytes aedon","House Wren",NA,"1",1,"visits/time","rate","Gamma","FALSE","video",4,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,18.68028,3.86763,74.72112,15.47052,0.171708769754688,0.687799531989512,"age1"
174,"Troglodytes aedon","House Wren",NA,"1",1,"visits/time","rate","Gamma","FALSE","video",4,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,27.08324,7.26442,108.33296,29.05768,0.250428043851914,0.871696431337054,"age2"
174,"Troglodytes aedon","House Wren",NA,"1",1,"visits/time","rate","Gamma","FALSE","video",4,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,34.31875,10.8407,137.275,43.3628,0.304133594664873,0.926994291935009,"age3"
174,"Troglodytes aedon","House Wren",NA,"1",1,"visits/time/chick","rate","Gamma","FALSE","video",4,TRUE,TRUE,2,"visits/hour/chick",1,TRUE,NA,4.040833,0.812285,NA,NA,NA,NA,"age1"
174,"Troglodytes aedon","House Wren",NA,"1",1,"visits/time/chick","rate","Gamma","FALSE","video",4,TRUE,TRUE,2,"visits/hour/chick",1,TRUE,NA,5.830588,1.38593,NA,NA,NA,NA,"age2"
174,"Troglodytes aedon","House Wren",NA,"1",1,"visits/time/chick","rate","Gamma","FALSE","video",4,TRUE,TRUE,2,"visits/hour/chick",1,TRUE,NA,7.28,2.12618,NA,NA,NA,NA,"age3"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.9,2.25,5.9,2.25,0,0,"age1 1st clutch 2012"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,6.63,2.7,6.63,2.7,0.122534515907028,0.0905349794238685,"age1 1st clutch 2013"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,7.63,2.78,7.63,2.78,0.0411124171464169,0.0127322602349773,"age2 1st clutch 2012"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,7.54,3.01,7.54,3.01,0.163517686376932,0.167779605081621,"age2 1st clutch 2013"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.44,2.55,5.44,2.55,0.189480957059635,0.163398692810457,"age3 1st clutch 2012"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,6.15,3.62,6.15,3.62,0.428799941596791,0.530691981319252,"age3 1st clutch 2013"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.88,3.36,5.88,3.36,0.395553517281813,0.479166666666667,"age1 2nd clutch 2012"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,6.42,1.5,6.42,1.5,0,0,"age1 2nd clutch 2013"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.93,2.56,5.93,2.56,0.133167534721077,0.0951538085937501,"age2 2nd clutch 2012"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,5.91,2.64,5.91,2.64,0.174174067444437,0.152031680440771,"age2 2nd clutch 2013"
178,"Delichon urbica","House Martin",NA,"1",1,"visits","number","Gaussian","FALSE","direct",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,3,2.29,3,2.29,0.499344014126979,0.427928529204249,"age3 2nd clutch 2012"
